bls_state_code,SeriesID,Date,Value,state_name,state_abbv
01,SMS01000001000000001,2015-01-01,11.5,Alabama,AL
01,SMS01000001000000001,2015-02-01,11.5,Alabama,AL
01,SMS01000001000000001,2015-03-01,11.3,Alabama,AL
01,SMS01000001000000001,2015-04-01,11.2,Alabama,AL
01,SMS01000001000000001,2015-05-01,11.2,Alabama,AL
01,SMS01000001000000001,2015-06-01,11.2,Alabama,AL
01,SMS01000001000000001,2015-07-01,11.0,Alabama,AL
01,SMS01000001000000001,2015-08-01,11.0,Alabama,AL
01,SMS01000001000000001,2015-09-01,10.7,Alabama,AL
01,SMS01000001000000001,2015-10-01,10.9,Alabama,AL
01,SMS01000001000000001,2015-11-01,10.8,Alabama,AL
01,SMS01000001000000001,2015-12-01,10.7,Alabama,AL
02,SMS02000001000000001,2015-01-01,18.1,Alaska,AK
02,SMS02000001000000001,2015-02-01,17.9,Alaska,AK
02,SMS02000001000000001,2015-03-01,17.9,Alaska,AK
02,SMS02000001000000001,2015-04-01,17.9,Alaska,AK
02,SMS02000001000000001,2015-05-01,17.5,Alaska,AK
02,SMS02000001000000001,2015-06-01,17.4,Alaska,AK
02,SMS02000001000000001,2015-07-01,17.4,Alaska,AK
02,SMS02000001000000001,2015-08-01,17.2,Alaska,AK
02,SMS02000001000000001,2015-09-01,17.3,Alaska,AK
02,SMS02000001000000001,2015-10-01,16.8,Alaska,AK
02,SMS02000001000000001,2015-11-01,16.6,Alaska,AK
02,SMS02000001000000001,2015-12-01,16.5,Alaska,AK
04,SMS04000001000000001,2015-01-01,12.7,Arizona,AZ
04,SMS04000001000000001,2015-02-01,12.8,Arizona,AZ
04,SMS04000001000000001,2015-03-01,12.7,Arizona,AZ
04,SMS04000001000000001,2015-04-01,12.5,Arizona,AZ
04,SMS04000001000000001,2015-05-01,12.6,Arizona,AZ
04,SMS04000001000000001,2015-06-01,12.7,Arizona,AZ
04,SMS04000001000000001,2015-07-01,12.7,Arizona,AZ
04,SMS04000001000000001,2015-08-01,12.7,Arizona,AZ
04,SMS04000001000000001,2015-09-01,12.5,Arizona,AZ
04,SMS04000001000000001,2015-10-01,12.0,Arizona,AZ
04,SMS04000001000000001,2015-11-01,11.9,Arizona,AZ
04,SMS04000001000000001,2015-12-01,12.0,Arizona,AZ
05,SMS05000001000000001,2015-01-01,8.9,Arkansas,AR
05,SMS05000001000000001,2015-02-01,8.8,Arkansas,AR
05,SMS05000001000000001,2015-03-01,8.5,Arkansas,AR
05,SMS05000001000000001,2015-04-01,8.2,Arkansas,AR
05,SMS05000001000000001,2015-05-01,8.1,Arkansas,AR
05,SMS05000001000000001,2015-06-01,8.0,Arkansas,AR
05,SMS05000001000000001,2015-07-01,8.0,Arkansas,AR
05,SMS05000001000000001,2015-08-01,7.8,Arkansas,AR
05,SMS05000001000000001,2015-09-01,7.6,Arkansas,AR
05,SMS05000001000000001,2015-10-01,7.6,Arkansas,AR
05,SMS05000001000000001,2015-11-01,7.5,Arkansas,AR
05,SMS05000001000000001,2015-12-01,7.5,Arkansas,AR
06,SMS06000001000000001,2015-01-01,31.0,California,CA
06,SMS06000001000000001,2015-02-01,30.1,California,CA
06,SMS06000001000000001,2015-03-01,30.2,California,CA
06,SMS06000001000000001,2015-04-01,29.9,California,CA
06,SMS06000001000000001,2015-05-01,29.5,California,CA
06,SMS06000001000000001,2015-06-01,29.0,California,CA
